Starters,Team,Home,Status,Pos,FPTS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jakob Poeltl,SAS,0,1,C,45.9,28.266666666666666,7,7,0,0,0,1,2,10,12,1,3,3,2,0,14,33,.941,1.000,.000,.143,8.7,35.4,23.4,5.1,5.0,8.8,21.2,14.5,142,94,12.1
Keldon Johnson,SAS,0,1,C,22.9,27.583333333333332,8,11,2,3,2,2,0,2,2,1,0,0,1,1,20,23,.842,.818,.273,.182,0.0,7.3,4.0,5.6,0.0,0.0,7.8,20.3,149,118,4.2
DeMar DeRozan,SAS,0,1,SF,40.2,25.7,7,11,0,0,9,10,2,4,6,8,0,0,2,1,23,30,.747,.636,.000,.909,9.6,15.6,12.9,46.8,0.0,0.0,11.5,29.5,152,116,11.5
Dejounte Murray,SAS,0,1,SF,33.7,24.5,7,13,2,3,0,0,0,6,6,5,1,0,0,2,16,36,.615,.615,.231,.000,0.0,24.5,13.5,31.3,1.9,0.0,0.0,23.1,136,109,6.5
Derrick White,SAS,0,1,SG,25.4,16.966666666666665,3,5,2,3,3,4,0,2,2,4,1,1,0,4,11,23,.814,.800,.600,.800,0.0,11.8,6.5,31.0,2.8,4.9,0.0,17.3,176,107,14.4
Patty Mills,SAS,0,0,PG,19.6,20.75,4,6,3,5,1,1,0,3,3,4,0,0,2,0,12,8,.932,.917,.833,.167,0.0,14.5,8.0,25.9,0.0,0.0,23.7,17.7,142,116,6.3
Drew Eubanks,SAS,0,0,PG,14.399999999999999,19.733333333333334,1,2,0,0,3,4,3,4,7,0,0,1,2,5,5,-22,.665,.500,.000,2.000,18.7,20.3,19.6,0.0,0.0,4.2,34.7,12.7,113,111,-8.6
Lonnie Walker,SAS,0,0,PG,9.2,19.3,4,10,1,5,2,2,0,1,1,0,0,0,3,4,11,-26,.506,.450,.500,.200,0.0,5.2,2.9,0.0,0.0,0.0,21.6,31.3,77,118,-18.5
Rudy Gay,SAS,0,0,PG,14.6,18.116666666666667,2,10,1,6,0,0,0,3,3,2,1,0,0,2,5,1,.250,.250,.600,.000,0.0,16.6,9.1,13.3,2.6,0.0,0.0,24.0,67,110,-12.4
Devin Vassell,SAS,0,0,PG,10.2,12.266666666666667,1,5,1,3,0,0,1,0,1,2,0,1,0,0,3,11,.300,.300,.600,.000,10.0,0.0,4.5,19.0,0.0,6.7,0.0,17.7,97,115,-2.0
Quinndary Weatherspoon,SAS,0,0,PG,2.2,10.1,1,3,0,1,0,0,0,1,1,0,0,0,1,6,2,-20,.333,.333,.333,.000,0.0,9.9,5.5,0.0,0.0,0.0,25.0,17.2,49,115,-26.3
Trey Lyles,SAS,0,0,C,1.2,8.8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-23,,,,,0.0,11.4,6.3,0.0,0.0,0.0,,0.0,0,117,-5.3
Keita Bates-Diop,SAS,0,0,C,4.2,7.916666666666667,0,2,0,2,3,4,0,1,1,0,0,0,0,0,3,-19,.399,.000,1.000,2.000,0.0,12.6,7.0,0.0,0.0,0.0,0.0,20.7,92,117,-11.9
Kevin Huerter,ATL,1,1,SG,14.399999999999999,23.766666666666666,2,8,1,3,0,0,1,1,2,4,1,0,2,2,5,-33,.313,.313,.375,.000,4.2,5.2,4.6,23.1,2.0,0.0,20.0,17.3,75,126,-10.1
Trae Young,ATL,1,1,PG,31.700000000000003,23.4,8,15,2,6,7,8,0,1,1,3,1,0,2,1,25,-27,.675,.600,.400,.533,0.0,5.3,2.4,27.2,2.0,0.0,9.7,36.1,126,126,8.4
John Collins,ATL,1,1,PF,14.7,23.083333333333332,3,11,1,3,2,2,4,2,6,1,0,0,3,2,9,-35,.379,.318,.273,.182,17.3,10.7,14.3,6.3,0.0,0.0,20.2,26.6,80,129,-15.6
Clint Capela,ATL,1,1,C,35.2,21.333333333333332,7,11,0,0,0,0,3,8,11,0,1,2,1,2,14,-28,.636,.636,.000,.000,14.1,46.2,28.4,0.0,2.2,8.3,8.3,23.2,120,112,3.2
Cam Reddish,ATL,1,1,SF,10.5,21.033333333333335,2,8,0,2,2,5,0,0,0,1,0,1,0,2,6,-31,.294,.250,.250,.625,0.0,0.0,0.0,6.6,0.0,4.2,0.0,20.0,69,128,-14.2
