Starters,Team,Home,Status,FPTS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,DAL,0,1,42.3,34.13333333333333,9,19,2,5,7,8,0,4,4,7,0,1,3,0,27,-14,.599,.526,.263,.421,0.0,13.7,7.0,34.7,0.0,2.7,11.8,34.7,115,144,1.1
Dorian Finney-Smith,DAL,0,1,20.4,29.366666666666667,4,9,2,6,0,0,0,2,2,0,3,0,1,4,10,-19,.556,.556,.667,.000,0.0,8.0,4.1,0.0,5.0,0.0,10.0,15.8,92,135,-6.4
Tim Hardaway,DAL,0,1,17.8,28.05,4,12,1,5,1,2,1,3,4,2,0,0,0,1,10,-9,.388,.375,.417,.167,4.4,12.5,8.6,10.0,0.0,0.0,0.0,21.3,89,146,-12.2
Josh Richardson,DAL,0,1,28.4,27.383333333333333,6,12,2,5,3,3,1,1,2,2,2,0,0,4,17,-10,.638,.583,.417,.250,4.5,4.3,4.4,11.5,3.5,0.0,0.0,22.6,133,140,0.5
Dwight Powell,DAL,0,1,24.1,23.533333333333335,4,4,1,1,2,4,0,3,3,1,3,0,1,2,11,-11,.955,1.125,.250,1.000,0.0,14.9,7.6,6.2,6.2,0.0,14.8,13.3,156,130,5.0
Trey Burke,DAL,0,0,24.2,24.466666666666665,5,10,4,7,3,4,0,1,1,2,0,1,0,5,17,-13,.723,.700,.700,.400,0.0,4.8,2.5,12.6,0.0,3.8,0.0,22.3,143,146,1.4
Maxi Kleber,DAL,0,0,17.0,19.75,1,2,1,2,2,2,1,4,5,0,2,0,0,0,5,-8,.868,.750,1.000,1.000,6.2,23.7,15.2,0.0,4.9,0.0,0.0,6.8,181,131,1.1
Willie Cauley-Stein,DAL,0,0,10.4,14.083333333333334,0,3,0,0,0,0,0,2,2,0,2,1,1,3,0,-6,.000,.000,.000,.000,0.0,16.6,8.5,0.0,6.9,6.6,25.0,13.2,0,125,-16.7
Jalen Brunson,DAL,0,0,4.9,13.866666666666667,2,5,0,1,0,0,0,2,2,1,0,0,3,2,4,-9,.400,.400,.200,.000,0.0,16.9,8.7,10.2,0.0,0.0,37.5,26.8,53,144,-25.9
James Johnson,DAL,0,0,14.2,11.866666666666667,1,1,0,0,2,3,0,1,1,4,1,0,0,0,4,-7,.862,1.000,.000,3.000,0.0,9.9,5.1,43.8,4.1,0.0,0.0,9.1,199,137,13.0
Boban Marjanović,DAL,0,0,7.2,7.033333333333333,3,4,0,0,0,0,0,1,1,0,0,0,0,1,6,-2,.750,.750,.000,.000,0.0,16.6,8.5,0.0,0.0,0.0,0.0,26.4,135,144,-1.3
Wesley Iwundu,DAL,0,0,2.0,2.3833333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,200,150,5.6
Josh Green,DAL,0,0,0.0,2.3833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,150,-11.1
Tyrell Terry,DAL,0,0,3.5,1.7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1.000,1.000,.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,0.0,27.3,207,150,28.2
